Ram,Weight,Price,TouchScreen,IPS,aspect_ratio,ppi,HDD,SSD,Hybrid,Flash_Storage,Company_Apple,Company_Asus,Company_Chuwi,Company_Dell,Company_Fujitsu,Company_Google,Company_HP,Company_Huawei,Company_LG,Company_Lenovo,Company_MSI,Company_Mediacom,Company_Microsoft,Company_Razer,Company_Samsung,Company_Toshiba,Company_Vero,Company_Xiaomi,TypeName_Gaming,TypeName_Netbook,TypeName_Notebook,TypeName_Ultrabook,TypeName_Workstation,os_Mac,os_Other,os_Windows,Gpu_brand_Intel,Gpu_brand_Nvidia,Cpu_brand_Intel Core i3,Cpu_brand_Intel Core i5,Cpu_brand_Intel Core i7,Cpu_brand_Other Intel Processor,Price_log
8,2.3,24455.52,0,0,1.7786458333333333,100.45466986113651,11024,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,10.104652126020449
16,1.62,68145.12,1,0,1.7777777777777777,165.6321180513006,0,512,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,11.12940950226841
6,2.4,37029.6,0,0,1.7777777777777777,141.21199808219862,0,256,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,10.519499876854974
4,2.2,24935.04,0,0,1.7777777777777777,141.21199808219862,0,128,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,10.124069425552399
8,2.0,45820.8,0,1,1.7777777777777777,141.21199808219862,500,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,10.732515239391274
6,2.3,23389.92,1,0,1.7786458333333333,100.45466986113651,11024,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,10.060103191853011
4,2.19,15877.44,0,0,1.7786458333333333,100.45466986113651,500,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,9.67271749319976
4,1.48,57648.96,0,0,1.7777777777777777,157.3505121487356,0,256,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,10.962144831854813
8,1.16,90043.2,0,0,1.7777777777777777,165.6321180513006,0,256,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,11.408055939867921
4,2.0,18594.72,0,0,1.7786458333333333,100.45466986113651,500,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,9.830686725695612
8,2.1,20725.92,0,0,1.7786458333333333,111.93520355955211,11024,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,9.939188617449547
8,1.17,90522.72,0,0,1.7777777777777777,146.86047800548656,0,256,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,11.413367194793471
8,2.31,76030.56,0,0,1.7777777777777777,141.21199808219862,0,256,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,11.23890379622848
16,1.93,76012.44480000001,0,0,1.7777777777777777,141.21199808219862,0,512,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,11.238665508885735
32,3.49,324954.72,1,0,1.7777777777777777,254.67134914246222,0,11024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,12.691444205875678
4,1.64,36443.52,0,0,1.7786458333333333,111.93520355955211,500,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,10.503546383198644
24,4.33,67612.31999999999,1,1,1.7777777777777777,127.33567457123111,11024,256,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,11.121560284041063
4,2.2,38378.6496,0,0,1.7786458333333333,100.45466986113651,500,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,10.555282639764934
4,2.08,42410.3472,1,1,1.7777777777777777,141.21199808219862,11024,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,10.655171228057007
8,2.6,42037.92,0,1,1.7777777777777777,141.21199808219862,11024,128,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,10.646351134841678
8,2.04,20725.92,0,0,1.7786458333333333,100.45466986113651,21024,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,9.939188617449547
8,1.84,64948.32,0,0,1.7777777777777777,141.21199808219862,0,256,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,11.081362552451946
8,1.32,87912.0,0,1,1.7777777777777777,157.3505121487356,0,256,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,11.38410296807344
8,2.4,41505.12,0,1,1.7777777777777777,141.21199808219862,0,256,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,10.633596165225693
8,1.95,74059.2,0,1,1.7777777777777777,141.21199808219862,0,256,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,11.212633554977055
16,2.4,74751.84,0,1,1.7777777777777777,141.21199808219862,0,512,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,11.221942483842241
8,2.2,24455.52,0,0,1.7786458333333333,100.45466986113651,11024,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,10.104652126020449
12,2.77,53226.72,1,0,1.7777777777777777,127.33567457123111,11024,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,10.882334592260529
16,1.4,79866.72,0,1,1.7777777777777777,165.6321180513006,0,512,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,11.288127045116099
8,2.2,17529.12,0,0,1.7786458333333333,100.45466986113651,11024,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,9.771675823299722
8,2.62,61751.52,0,1,1.7777777777777777,141.21199808219862,11024,128,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,11.030890063374128
16,1.7,122490.72,0,0,1.7777777777777777,157.3505121487356,0,512,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,11.715798714845754
4,1.29,32767.2,0,0,1.7777777777777777,276.053530085501,0,0,0,32,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,10.397213811896178
8,2.2,33513.119999999995,0,0,1.7786458333333333,100.45466986113651,500,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,10.419722121547444
8,1.12,52693.92,0,1,1.7777777777777777,165.6321180513006,0,256,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,10.87227433519628
16,3.21,109277.28,0,0,1.7777777777777777,141.21199808219862,11024,128,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,11.601652935295686
8,2.5,55677.6,0,0,1.7777777777777777,127.33567457123111,0,256,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,10.927351151014033
16,4.36,168045.12,0,1,1.7777777777777777,254.67134914246222,11024,512,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,12.031993744520154
4,2.1,46193.76,1,1,1.7777777777777777,141.21199808219862,0,256,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,10.740621650723886
8,1.2,58341.6,0,0,1.7786458333333333,117.82653006268643,0,256,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,10.974087808763938
12,2.26,58554.72,1,0,1.7777777777777777,141.21199808219862,21024,512,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,10.977734058532482
4,2.2,30849.12,0,0,1.7777777777777777,141.21199808219862,11024,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,10.336895919115271
8,2.2,26586.72,0,0,1.7786458333333333,100.45466986113651,0,256,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,10.188204734039374
8,2.69,47365.92,0,0,1.7777777777777777,127.33567457123111,11024,128,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,10.765679373749014
16,2.9,128884.32,0,0,1.7777777777777777,127.33567457123111,11024,256,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,11.76667829570779
8,1.36,93772.8,0,1,1.7777777777777777,176.23257360658386,0,256,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,11.448640778280634
